dates,staff,ctv_collected,canvass_period,dow,doors_knocked,doors_rate,doors_contacted
2020-10-03,Jack Lew,12,1,Sat,112,0.48097749347798524,53
2020-07-01,John King Jr.,23,1,Wed,0,0.36647989274933934,0
2020-08-16,Penny Pritzker,8,1,Sun,56,0.23590614019194617,13
2020-06-30,Sally Jewell,13,1,Tue,0,0.26137362741865217,0
2020-06-10,Steven Chu,16,1,Wed,0,0.6712422165204771,0
2020-09-14,Tom Perez,22,1,Mon,0,0.2171810568892397,0
2020-08-31,Eric Holder,36,1,Mon,0,0.6308751019998453,0
2020-10-17,Bob Perciasepe,8,1,Sat,129,0.46771342350402845,60
2020-08-11,Alan Krueger,21,1,Tue,0,0.09670144942356274,0
2020-04-13,John Kerry,29,1,Mon,0,0.5642498539178632,0
2020-09-07,Lisa P. Jackson,30,1,Mon,0,0.4390281899715774,0
2020-10-14,Jeffrey Zients,30,1,Wed,0,0.04736215125303715,0
2020-08-31,Ash Carter,8,1,Mon,0,0.8497561793541536,0
2020-08-04,Rahm Emanuel,18,1,Tue,0,0.2582822284894064,0
2020-08-01,Eric Holder,10,1,Sat,66,0.32906277031870557,21
2020-06-19,Jeanne Hulit,3,1,Fri,40,0.8391588417114689,33
2020-07-30,Cameron Kerry,13,1,Thu,0,0.46161516616120934,0
2020-10-12,Ash Carter,1,1,Mon,0,0.648904276790563,0
2020-05-30,Rebecca Blank,4,1,Sat,98,0.34723052110057323,34
2020-09-27,Julian Castro,33,1,Sun,54,0.025341546151321382,1
2020-08-25,Cameron Kerry,8,1,Tue,0,0.3333623652812093,0
2020-10-13,William M. Daley,11,1,Tue,0,0.6985755635425448,0
2020-06-04,Loretta Lynch,12,1,Thu,0,0.2050042269285768,0
2020-06-23,Jason Furman,44,1,Tue,0,0.17858867335598916,0
2020-10-14,Michael Scuse,11,1,Wed,0,0.23293472793884576,0
2020-09-17,Demetrios Marantis,6,1,Thu,29,0.36745533464709296,10
2020-07-27,Ash Carter,22,1,Mon,0,0.16941844848915935,0
2020-09-27,Lisa P. Jackson,1,1,Sun,43,0.8493193733971566,36
2020-10-18,Hillary Clinton,17,1,Sun,58,0.2917014134582132,16
2020-06-05,Janet Napolitano,12,1,Fri,35,0.47493420196697117,16
2020-06-18,Daniel Poneman,33,1,Thu,15,0.6533290900755674,9
2020-10-26,John Bryson,7,1,Mon,0,0.3265859149862081,0
2020-07-01,Sylvia Mathews Burwell,10,1,Wed,0,0.3548929227516055,0
2020-08-01,Rand Beers,16,1,Sat,43,0.47304730337345974,20
2020-09-21,John King Jr.,14,1,Mon,0,0.6327628640574403,0
2020-07-13,Shaun Donovan,15,1,Mon,0,0.2944330344325863,0
2020-10-07,Susan Rice,12,1,Wed,0,0.7444773953640833,0
2020-08-31,Bob McDonald,11,1,Mon,0,0.7020959234330802,0
2020-04-28,Steven Chu,9,1,Tue,0,0.08246509553864598,0
2020-08-20,Demetrios Marantis,3,1,Thu,21,0.7401452032965607,15
2020-09-21,Ash Carter,32,1,Mon,0,0.7756316558574327,0
2020-05-23,Cameron Kerry,10,1,Sat,117,0.4753509560832754,55
2020-10-05,Bob Perciasepe,19,1,Mon,0,0.7453452788875438,0
2020-07-13,Daniel Poneman,13,1,Mon,0,0.09596559931524097,0
2020-06-11,Michael Froman,39,1,Thu,26,0.46640235333470625,12
2020-11-03,Bob Perciasepe,15,1,Tue,0,0.4008252509054728,0
2020-09-12,Eric Shinseki,7,1,Sat,101,0.6533737992285751,65
2020-07-12,Maria Contreras-Sweet,4,1,Sun,82,0.8013644454418681,65
2020-05-26,Arne Duncan,26,1,Tue,0,0.0572706485982053,0
2020-06-23,John King Jr.,27,1,Tue,0,0.03256683469517156,0
2020-06-04,Susan Rice,14,1,Thu,0,0.4533876655623317,0
2020-09-14,John Bryson,26,1,Mon,0,0.1724993105046451,0
2020-07-03,Demetrios Marantis,6,1,Fri,20,0.5223582586273551,10
2020-08-21,Robert Gates,28,1,Fri,17,0.588385986990761,10
2020-05-23,Christina Romer,13,1,Sat,183,0.3876680434681475,70
2020-06-04,Christina Romer,22,1,Thu,18,0.7027088255970738,12
2020-10-19,Tom Perez,16,1,Mon,0,0.786793758382555,0
2020-05-01,Janet Napolitano,8,1,Fri,0,0.5266203472274356,0
2020-07-14,Julian Castro,13,1,Tue,0,0.4492803753120825,0
2020-09-21,Jack Lew,13,1,Mon,0,0.4156439575832337,0
2020-06-12,Penny Pritzker,21,1,Fri,40,0.2765472061582841,11
2020-07-28,Bob Perciasepe,44,1,Tue,0,0.3347390468465164,0
2020-04-11,Penny Pritzker,31,1,Sat,92,0.05929918261244893,5
2020-08-27,Gary Locke,25,1,Thu,24,0.1117300700978376,2
2020-07-24,Samantha Power,10,1,Fri,30,0.23946796159725636,7
2020-06-23,Peter R. Orszag,45,1,Tue,0,0.2874819755903445,0
2020-05-18,Rebecca Blank,28,1,Mon,0,0.6920080873882398,0
2020-04-11,Ash Carter,40,1,Sat,32,0.4464837546693161,14
2020-06-13,Leon Panetta,13,1,Sat,41,0.09099080472951755,3
2020-07-24,Anthony Foxx,5,1,Fri,92,0.21532446820056064,19
2020-06-18,Maria Contreras-Sweet,13,1,Thu,29,0.2641808973858133,7
2020-11-02,Cameron Kerry,18,1,Mon,0,0.6535551830893382,0
2020-04-11,Peter R. Orszag,3,1,Sat,182,0.6556864441954531,119
2020-04-16,Timothy Geithner,5,1,Thu,44,0.7980766405933536,35
2020-08-25,Kathleen Sebelius,21,1,Tue,0,0.4037824471713975,0
2020-05-06,Rahm Emanuel,20,1,Wed,0,0.6803242880967445,0
2020-08-04,Jack Lew,15,1,Tue,0,0.7962012363830581,0
2020-04-20,Steven Chu,12,1,Mon,0,0.2100083935423754,0
2020-08-21,Hilda Solis,17,1,Fri,67,0.1693765998701565,11
2020-06-17,Sally Jewell,22,1,Wed,0,0.5900475121568888,0
2020-05-13,Janet Napolitano,10,1,Wed,0,0.685004108469002,0
2020-08-26,Chuck Hagel,16,1,Wed,0,0.806420524592977,0
2020-04-07,Leon Panetta,10,1,Tue,0,0.2597112880670465,0
2020-07-05,Rebecca Blank,19,1,Sun,18,0.819911617739126,14
2020-10-29,Maria Contreras-Sweet,6,1,Thu,0,0.5243775369715876,0
2020-06-29,Jeffrey Zients,23,1,Mon,0,0.30523331641452384,0
2020-10-17,Bob Perciasepe,38,1,Sat,27,0.8416723589412868,22
2020-04-22,Peter R. Orszag,29,1,Wed,0,0.055199561419431116,0
2020-06-09,Kathleen Sebelius,20,1,Tue,0,0.3987013461650349,0
2020-07-24,Eric Holder,6,1,Fri,41,0.4021513807354495,16
2020-04-16,Ray LaHood,27,1,Thu,0,0.581596896040719,0
2020-10-02,Jeffrey Zients,12,1,Fri,18,0.13117057960480452,2
2020-07-01,Sloan D. Gibson,16,1,Wed,0,0.6943496317835525,0
2020-11-01,Eric Shinseki,17,1,Sun,35,0.3499238316202536,12
2020-07-13,Loretta Lynch,9,1,Mon,0,0.5524140156805515,0
2020-10-14,Chuck Hagel,11,1,Wed,0,0.2836133445962332,0
2020-04-05,Eric Holder,16,1,Sun,0,0.2451511050690897,0
2020-05-12,Cameron Kerry,7,1,Tue,0,0.6903231598320417,0
2020-06-23,Joe Biden,14,1,Tue,0,0.05394099790137261,0
2020-06-06,Jack Lew,5,1,Sat,27,0.6597009046352468,17
2020-07-24,Ray LaHood,15,1,Fri,48,0.6234364137402736,29
2020-09-06,Jack Lew,10,1,Sun,62,0.562779100285843,34
2020-10-24,Kathleen Sebelius,8,1,Sat,86,0.5160769174108282,44
2020-07-17,Anthony Foxx,3,1,Fri,76,0.7992958338698372,60
2020-04-29,Daniel Poneman,54,1,Wed,0,0.3560302116209641,0
2020-08-11,John Bryson,10,1,Tue,0,0.3903497509541921,0
2020-11-02,Ken Salazar,8,1,Mon,0,0.7143375424901023,0
2020-04-21,Shaun Donovan,22,1,Tue,0,0.06591316629201173,0
2020-10-12,Eric Holder,26,1,Mon,0,0.7419063905836083,0
2020-06-12,Arne Duncan,7,1,Fri,23,0.5930194239248522,13
2020-07-12,Gary Locke,15,1,Sun,16,0.06223297826945782,0
2020-05-09,Cameron Kerry,16,1,Sat,143,0.5597408686182461,80
2020-06-16,Jack Lew,5,1,Tue,0,0.2504653639392927,0
2020-05-09,Robert Gates,3,1,Sat,35,0.6926626604516058,24
2020-08-20,Anthony Foxx,46,1,Thu,22,0.6089457266381941,13
2020-05-22,Eric Holder,15,1,Fri,41,0.024414903135038912,1
2020-10-12,John Kerry,21,1,Mon,0,0.2759126726654358,0
2020-06-13,Julian Castro,19,1,Sat,107,0.5878991072415374,62
2020-10-18,Kathleen Sebelius,3,1,Sun,65,0.6579435765161179,42
2020-07-18,Ken Salazar,11,1,Sat,97,0.5137763534206897,49
2020-08-02,Loretta Lynch,2,1,Sun,45,0.7120215905131771,32
2020-09-07,Bob Perciasepe,28,1,Mon,0,0.44194555428111926,0
2020-05-17,Robert Gates,17,1,Sun,27,0.06663291021250188,1
2020-06-06,Maria Contreras-Sweet,1,1,Sat,37,0.7508577545173466,27
2020-10-05,Maria Contreras-Sweet,27,1,Mon,0,0.48917732760310173,0
2020-05-13,Arne Duncan,32,1,Wed,0,0.2655702027841471,0
2020-10-02,Tom Perez,10,1,Fri,56,0.07589179362403228,4
2020-10-23,Rand Beers,1,1,Fri,66,0.6858488492551259,45
2020-05-30,Pete Rouse,9,1,Sat,173,0.23056942373514175,39
2020-09-30,William M. Daley,9,1,Wed,0,0.3191774752805941,0
2020-05-02,Robert Gates,7,1,Sat,113,0.5480661726091057,61
2020-09-12,Rahm Emanuel,14,1,Sat,151,0.44633121027145534,67
2020-07-06,Alan Krueger,14,1,Mon,0,0.22818539247382433,0
2020-10-25,Eric Shinseki,23,1,Sun,47,0.15794767249608413,7
2020-08-16,Pete Rouse,38,1,Sun,34,0.3680057505494915,12
2020-05-06,Jeffrey Zients,17,1,Wed,0,0.6814546001842245,0
2020-06-28,Gary Locke,14,1,Sun,75,0.2610294482205063,19
2020-10-30,Miriam Sapiro,14,1,Fri,52,0.09215475431410595,4
2020-05-02,John Bryson,11,1,Sat,57,0.34371252440614625,19
2020-10-11,Tom Perez,32,1,Sun,18,0.6951882358989678,12
2020-05-13,Arne Duncan,22,1,Wed,0,0.06566717600217088,0
2020-08-13,Austan Goolsbee,13,1,Thu,16,0.2131621568230912,3
2020-09-19,Neal S. Wolin,35,1,Sat,125,0.09073171246564016,11
2020-09-07,Rebecca Blank,6,1,Mon,0,0.22912145839072764,0
2020-09-11,Chuck Hagel,4,1,Fri,33,0.7750932936207391,25
2020-07-23,Michael Froman,7,1,Thu,25,0.5927333643892779,14
2020-08-15,John Kerry,4,1,Sat,94,0.701829546445515,65
2020-07-08,Joe Biden,23,1,Wed,0,0.006853799696546048,0
2020-05-26,Ken Salazar,8,1,Tue,0,0.17229167064651846,0
2020-04-13,Ernest Moniz,9,1,Mon,0,0.47307309745810927,0
2020-07-04,Bob Perciasepe,19,1,Sat,43,0.3493453370057978,15
2020-09-15,Seth Harris,29,1,Tue,0,0.14433480103034527,0
2020-04-29,Jeffrey Zients,26,1,Wed,0,0.1486109799472615,0
2020-10-31,John King Jr.,5,1,Sat,127,0.28020888343453404,35
2020-09-24,Robert Gates,3,1,Thu,22,0.7391759837628342,16
2020-10-31,William M. Daley,15,1,Sat,117,0.5141167771536856,60
2020-04-08,Shaun Donovan,32,1,Wed,0,0.48787090209079903,0
2020-08-02,Joe Biden,1,1,Sun,24,0.8454474660684355,20
2020-06-27,Bob McDonald,5,1,Sat,66,0.38831916861236093,25
2020-07-09,Jeffrey Zients,9,1,Thu,0,0.0782640783698298,0
2020-06-27,Jeh Johnson,9,1,Sat,36,0.22480485300766304,8
2020-08-03,Jack Lew,9,1,Mon,0,0.0286964166094549,0
2020-05-27,Jeffrey Zients,11,1,Wed,0,0.40152351232245564,0
2020-10-07,Anthony Foxx,13,1,Wed,0,0.1413609859999269,0
2020-11-02,Arne Duncan,20,1,Mon,0,0.5745679659186862,0
2020-10-19,Susan Rice,6,1,Mon,0,0.7999581379350275,0
2020-11-01,Sylvia Mathews Burwell,8,1,Sun,48,0.02312509836629033,1
2020-08-21,Ken Salazar,16,1,Fri,32,0.08795754505554214,2
2020-06-05,Leon Panetta,5,1,Fri,82,0.5271037875674665,43
2020-10-06,Jason Furman,14,1,Tue,0,0.11824541087262332,0
2020-08-24,Rosemary DiCarlo,14,1,Mon,0,0.2604999970993958,0
2020-07-16,Maria Contreras-Sweet,25,1,Thu,17,0.4863866453291848,8
2020-08-15,Ken Salazar,6,1,Sat,139,0.5973400394781493,83
2020-08-28,Ray LaHood,24,1,Fri,0,0.7185936133610085,0
2020-08-24,Demetrios Marantis,47,1,Mon,0,0.044684413564391436,0
2020-10-09,Tom Vilsack,7,1,Fri,37,0.7504575902712531,27
2020-08-28,Jeh Johnson,6,1,Fri,62,0.41743180142948405,25
2020-11-03,Penny Pritzker,19,1,Tue,0,0.5602865747525356,0
2020-05-25,Rahm Emanuel,38,1,Mon,0,0.5192263679229654,0
2020-07-13,Ken Salazar,17,1,Mon,0,0.19403836289420723,0
2020-04-04,Leon Panetta,14,1,Sat,102,0.3046661164960824,31
2020-05-25,Timothy Geithner,30,1,Mon,0,0.6380669242353179,0
2020-06-10,Tom Vilsack,21,1,Wed,0,0.20243475077440962,0
2020-08-24,Rebecca Blank,11,1,Mon,0,0.6788167712395079,0
2020-09-10,Leon Panetta,13,1,Thu,29,0.03755053683416918,1
2020-06-14,Pete Rouse,10,1,Sun,33,0.0070361602236516775,0
2020-05-31,Sylvia Mathews Burwell,42,1,Sun,15,0.5932760661118663,8
2020-09-08,Peter R. Orszag,15,1,Tue,0,0.7045602040132507,0
2020-08-15,Kathleen Sebelius,8,1,Sat,61,0.14204518757760523,8
2020-08-16,Alan Krueger,11,1,Sun,46,0.44472400279482827,20
2020-05-17,Jeh Johnson,5,1,Sun,44,0.5595752163091674,24
2020-10-14,Peter R. Orszag,30,1,Wed,0,0.17546492035035044,0
2020-08-06,Bob McDonald,26,1,Thu,60,0.011239681101869792,0
2020-05-07,Janet Napolitano,2,1,Thu,15,0.2508591476944275,3
2020-08-27,Timothy Geithner,2,1,Thu,60,0.17475772446487098,10
2020-04-25,Rosemary DiCarlo,6,1,Sat,49,0.2930631341179833,14
2020-07-24,Jeffrey Zients,7,1,Fri,50,0.10639471285976469,5
2020-10-22,Ernest Moniz,14,1,Thu,29,0.34479691516607996,9
2020-05-03,Pete Rouse,4,1,Sun,39,0.6860857776249759,26
2020-08-06,Ken Salazar,2,1,Thu,33,0.7294061954016797,24
2020-10-08,Arne Duncan,1,1,Thu,20,0.3585652113542892,7
2020-05-09,Demetrios Marantis,8,1,Sat,0,0.08917780603514984,0
2020-07-12,Tom Perez,31,1,Sun,24,0.3981211657868698,9
2020-05-01,Jeffrey Zients,7,1,Fri,46,0.010741116385906935,0
2020-04-22,Samantha Power,23,1,Wed,0,0.2631547915400006,0
2020-06-03,Miriam Sapiro,13,1,Wed,0,0.5215457555488683,0
2020-05-24,Demetrios Marantis,8,1,Sun,23,0.30282835342222825,6
2020-09-04,Ray LaHood,33,1,Fri,47,0.09103758675046265,4
2020-07-26,Michael Froman,10,1,Sun,43,0.2688358657062054,11
2020-06-04,Rebecca Blank,4,1,Thu,34,0.38949093053815886,13
2020-05-14,Jeffrey Zients,1,1,Thu,25,0.6360216988250613,15
2020-10-15,John Bryson,6,1,Thu,16,0.43489711774745954,6
2020-04-08,Rebecca Blank,7,1,Wed,0,0.4477654573624022,0
2020-08-08,Karen Mills,10,1,Sat,65,0.07908965373644605,5
2020-05-03,Eric Shinseki,2,1,Sun,38,0.3937654165667482,14
2020-08-04,Cameron Kerry,15,1,Tue,0,0.7698338972753845,0
2020-07-08,Demetrios Marantis,1,1,Wed,0,0.31531569777289403,0
2020-07-17,Gina McCarthy,6,1,Fri,36,0.44581385734491047,16
2020-07-24,Peter R. Orszag,18,1,Fri,66,0.3736968033364974,24
2020-06-23,Miriam Sapiro,20,1,Tue,0,0.036580310750287025,0
2020-10-19,Julian Castro,15,1,Mon,0,0.3832741634920239,0
2020-07-04,Steven Chu,41,1,Sat,90,0.26114984337473285,23
2020-05-24,Arne Duncan,3,1,Sun,76,0.31177684336435046,23
2020-10-08,Gina McCarthy,23,1,Thu,31,0.03156928688986227,0
2020-05-10,Janet Napolitano,4,1,Sun,45,0.33349559939233586,15
2020-04-20,Pete Rouse,8,1,Mon,0,0.07639678771374747,0
2020-05-22,Sally Jewell,12,1,Fri,43,0.22849051827797665,9
2020-10-04,Eric Holder,14,1,Sun,69,0.14904004817362873,10
2020-09-28,Chuck Hagel,16,1,Mon,0,0.7281215874478221,0
2020-06-18,Ken Salazar,17,1,Thu,0,0.018557822809088974,0
2020-05-11,Demetrios Marantis,13,1,Mon,0,0.7549367810133845,0
2020-09-14,Joe Biden,12,1,Mon,0,0.21840811554575337,0
2020-07-05,Neal S. Wolin,5,1,Sun,51,0.24363805218599735,12
2020-07-13,Robert Gates,13,1,Mon,0,0.7088742170250043,0
2020-10-30,William M. Daley,18,1,Fri,26,0.07180028499569743,1
2020-04-20,Ken Salazar,10,1,Mon,0,0.015479663398582488,0
2020-04-22,Gina McCarthy,6,1,Wed,0,0.06033487858949229,0
2020-08-16,Robert Gates,56,1,Sun,15,0.679562122223433,10
2020-05-14,Austan Goolsbee,11,1,Thu,0,0.4491505930782296,0
2020-05-27,Karen Mills,23,1,Wed,0,0.41494811457814645,0
2020-06-09,Gary Locke,14,1,Tue,0,0.055996342049911614,0
2020-10-06,Kathleen Sebelius,12,1,Tue,0,0.40921815464971584,0
2020-04-12,Jason Furman,10,1,Sun,0,0.5809422068065032,0
2020-05-15,Rebecca Blank,5,1,Fri,16,0.34266833944711833,5
2020-08-03,Tom Vilsack,12,1,Mon,0,0.4670780287240632,0
2020-04-09,Karen Mills,17,1,Thu,0,0.18401767775649205,0
2020-04-04,Denis McDonough,19,1,Sat,48,0.13652795309899374,6
2020-05-13,Joe Biden,39,1,Wed,0,0.7758137557422742,0
2020-06-13,John King Jr.,28,1,Sat,102,0.13824853184632957,14
2020-06-01,Joe Biden,9,1,Mon,0,0.15238214735873043,0
2020-05-11,Christina Romer,24,1,Mon,0,0.4649360272567719,0
2020-05-15,Michael Froman,11,1,Fri,44,0.38071584152057764,16
2020-05-21,John King Jr.,6,1,Thu,17,0.621453468571417,10
2020-06-28,Shaun Donovan,11,1,Sun,25,0.007906420598737895,0
2020-10-06,Jack Lew,2,1,Tue,0,0.10646961317397653,0
2020-05-30,Edward C. Hugler,2,1,Sat,45,0.8398089866270311,37
2020-09-11,Bob McDonald,26,1,Fri,23,0.5093434054055251,11
2020-06-13,Timothy Geithner,4,1,Sat,93,0.6271833358798176,58
2020-10-26,Samantha Power,12,1,Mon,0,0.7599017798434943,0
2020-08-15,Penny Pritzker,14,1,Sat,80,0.06164834718219936,4
2020-10-01,Austan Goolsbee,6,1,Thu,16,0.4335736172972247,6
2020-04-27,Karen Mills,21,1,Mon,0,0.0043359667295590045,0
2020-07-30,Leon Panetta,10,1,Thu,22,0.12331185654038564,2
2020-09-16,Penny Pritzker,43,1,Wed,0,0.3588800927391276,0
2020-05-27,Jason Furman,9,1,Wed,0,0.02542071054922417,0
2020-07-18,Rosemary DiCarlo,5,1,Sat,154,0.5882553359493613,90
2020-08-05,Sloan D. Gibson,8,1,Wed,0,0.15748250086326152,0
2020-07-15,Janet Napolitano,14,1,Wed,0,0.5964019853970967,0
2020-08-11,Anthony Foxx,13,1,Tue,0,0.15921163588063791,0
2020-04-05,Tom Perez,5,1,Sun,64,0.3215816260664724,20
2020-06-23,Gina McCarthy,20,1,Tue,0,0.8442619817331433,0
2020-06-22,Lisa P. Jackson,3,1,Mon,0,0.17034970311215147,0
2020-04-15,Tom Perez,7,1,Wed,0,0.8394485692377202,0
2020-06-02,Kathleen Sebelius,4,1,Tue,0,0.8361915219575167,0
2020-09-13,Hilda Solis,6,1,Sun,30,0.4802956129424274,14
2020-09-21,Arne Duncan,26,1,Mon,0,0.5070021277875639,0
2020-05-15,Jason Furman,1,1,Fri,83,0.8493138104560785,70
2020-10-17,Daniel Poneman,5,1,Sat,86,0.15941947601968423,13
2020-04-23,Michael Froman,39,1,Thu,22,0.19751809287117794,4
2020-10-11,Jason Furman,8,1,Sun,0,0.6638463525567203,0
2020-07-21,Jack Lew,25,1,Tue,0,0.4265441116644069,0
2020-04-29,Maria Contreras-Sweet,19,1,Wed,0,0.023347645497415213,0
2020-06-13,John King Jr.,9,1,Sat,46,0.527249532903079,24
2020-05-17,Austan Goolsbee,3,1,Sun,18,0.7640208462951704,13
2020-09-27,Alan Krueger,17,1,Sun,53,0.16685276856878772,8
2020-07-10,Gary Locke,8,1,Fri,52,0.2861690423334949,14
2020-06-12,Gina McCarthy,4,1,Fri,48,0.7911200233618728,37
2020-05-02,Steven Chu,23,1,Sat,141,0.5309223251766525,74
2020-10-06,Alan Krueger,14,1,Tue,0,0.5770365113741718,0
2020-04-12,Kathleen Sebelius,6,1,Sun,37,0.13329101426061243,4
2020-08-12,Alan Krueger,9,1,Wed,0,0.46983106293482707,0
2020-09-18,Alan Krueger,9,1,Fri,42,0.5505561879021116,23
2020-08-04,Maria Contreras-Sweet,6,1,Tue,0,0.2874519067350775,0
2020-07-24,Penny Pritzker,11,1,Fri,64,0.2646561594563536,16
2020-06-29,Sylvia Mathews Burwell,14,1,Mon,0,0.15474836291978136,0
2020-09-06,Hilda Solis,1,1,Sun,23,0.8335101257776841,19
2020-10-09,Ray LaHood,4,1,Fri,25,0.59666885813931,14
2020-04-25,Samantha Power,5,1,Sat,92,0.5579746940988116,51
2020-06-10,Pete Rouse,15,1,Wed,0,0.06303048956906422,0
2020-06-19,Timothy Geithner,6,1,Fri,38,0.834620825771708,31
2020-05-26,Loretta Lynch,30,1,Tue,0,0.1447663674247451,0
2020-04-27,Jeh Johnson,38,1,Mon,0,0.691907332430128,0
2020-08-05,Jeh Johnson,41,1,Wed,0,0.08001999957486987,0
2020-05-15,Anthony Foxx,15,1,Fri,46,0.26430548676289617,12
2020-08-04,Janet Napolitano,15,1,Tue,0,0.45382510600611564,0
2020-08-07,Eric Holder,8,1,Fri,0,0.4306079336325638,0
2020-10-30,John Kerry,0,1,Fri,55,0.75656979464693,41
2020-05-24,Hillary Clinton,5,1,Sun,45,0.3273798107402399,14
2020-07-13,Sally Jewell,27,1,Mon,0,0.8313034375314601,0
2020-05-05,Sally Jewell,13,1,Tue,0,0.40266443613218145,0
2020-09-19,Timothy Geithner,6,1,Sat,120,0.6234474365133792,74
2020-04-21,Arne Duncan,10,1,Tue,0,0.3749286948586814,0
2020-07-14,William M. Daley,22,1,Tue,0,0.5658889804733916,0
2020-04-17,Arne Duncan,5,1,Fri,26,0.797911791189108,20
2020-10-21,Maria Contreras-Sweet,18,1,Wed,0,0.014697537710890173,0
2020-05-13,Neal S. Wolin,36,1,Wed,0,0.5488460686872713,0
2020-09-03,Timothy Geithner,11,1,Thu,0,0.4590245597762987,0
2020-10-25,Denis McDonough,17,1,Sun,103,0.004435421247035265,0
2020-09-08,Bob Perciasepe,8,1,Tue,0,0.7500891941017471,0
2020-05-26,Ernest Moniz,9,1,Tue,0,0.801104572636541,0
2020-08-11,Samantha Power,10,1,Tue,0,0.2651096621528268,0
2020-04-29,Sloan D. Gibson,18,1,Wed,0,0.7608253669925034,0
2020-05-10,Kathleen Sebelius,15,1,Sun,34,0.3023351169307716,10
2020-04-18,Rebecca Blank,25,1,Sat,77,0.10730879378970712,8
2020-05-29,Austan Goolsbee,9,1,Fri,21,0.32654852499254045,6
2020-07-05,Robert Gates,22,1,Sun,61,0.11971344290068373,7
2020-09-02,Seth Harris,12,1,Wed,0,0.7674884159350768,0
2020-06-15,John Kerry,32,1,Mon,0,0.5789023262448608,0
2020-05-03,Bob McDonald,10,1,Sun,53,0.247610343596898,13
2020-08-09,Arne Duncan,14,1,Sun,27,0.09908700891537592,2
2020-10-11,Michael Froman,6,1,Sun,67,0.5855270720552653,39
2020-06-24,Anthony Foxx,7,1,Wed,0,0.06658456097356975,0
2020-04-22,Peter R. Orszag,39,1,Wed,0,0.42831187279662114,0
2020-09-23,Jeanne Hulit,28,1,Wed,0,0.02144884938606992,0
2020-04-26,Chuck Hagel,6,1,Sun,48,0.4646560093970038,22
2020-09-13,Gary Locke,4,1,Sun,17,0.15669336554128677,2
2020-04-28,Jeh Johnson,17,1,Tue,0,0.6086487074615433,0
2020-10-03,John Kerry,33,1,Sat,80,0.3805874479934573,30
2020-07-26,Kathleen Sebelius,18,1,Sun,32,0.2379352859337814,7
2020-08-08,Jeffrey Zients,12,1,Sat,46,0.3951349335373379,18
2020-10-05,Miriam Sapiro,21,1,Mon,0,0.17173772983951494,0
2020-10-06,Julian Castro,21,1,Tue,0,0.39876388289267195,0
2020-04-13,Rebecca Blank,26,1,Mon,0,0.47547813011333345,0
2020-07-11,John Kerry,4,1,Sat,126,0.4998691833927296,62
2020-06-14,Karen Mills,8,1,Sun,68,0.23032337387558072,15
2020-09-26,Hillary Clinton,29,1,Sat,58,0.15716940201818944,9
2020-07-24,Austan Goolsbee,3,1,Fri,59,0.7809107539476826,46
2020-07-04,Eric Holder,4,1,Sat,82,0.5562434525694698,45
2020-04-13,Julian Castro,20,1,Mon,0,0.3509543941123411,0
2020-05-24,Robert Gates,9,1,Sun,93,0.31348848032066595,29
2020-06-26,Hilda Solis,22,1,Fri,54,0.12529073493788018,6
2020-04-25,Pete Rouse,5,1,Sat,62,0.8045367507380433,49
2020-07-01,John Bryson,3,1,Wed,0,0.5966864442685619,0
2020-05-22,Shaun Donovan,3,1,Fri,117,0.46764394383644686,54
2020-10-02,Gary Locke,40,1,Fri,37,0.5595269056619144,20
2020-05-20,John Kerry,5,1,Wed,0,0.39453319050371644,0
2020-09-10,Rand Beers,14,1,Thu,0,0.12148326324531808,0
2020-09-03,Austan Goolsbee,9,1,Thu,15,0.14670067401602863,2
2020-04-21,Alan Krueger,26,1,Tue,0,0.035751594020985066,0
2020-07-13,Sylvia Mathews Burwell,29,1,Mon,0,0.5424401331460104,0
2020-04-28,Jeanne Hulit,13,1,Tue,0,0.4373225735151209,0
2020-05-28,Robert Gates,20,1,Thu,0,0.13231538831023498,0
2020-05-20,Daniel Poneman,27,1,Wed,0,0.4340533304726705,0
2020-05-11,Austan Goolsbee,23,1,Mon,0,0.24688246059231458,0
2020-04-04,Jack Lew,6,1,Sat,70,0.5725569901289418,40
2020-06-01,Kathleen Sebelius,7,1,Mon,0,0.6611749575589784,0
2020-04-27,Pete Rouse,10,1,Mon,0,0.4705536873778328,0
2020-06-28,Sloan D. Gibson,5,1,Sun,92,0.8355246387422085,76
2020-09-19,Rosemary DiCarlo,3,1,Sat,36,0.3009451309335418,10
2020-04-23,Gary Locke,17,1,Thu,24,0.05214523900067434,1
2020-06-14,Lisa P. Jackson,16,1,Sun,49,0.5297505351481959,25
2020-06-12,Jeffrey Zients,25,1,Fri,49,0.047481185605283825,2
2020-09-16,Maria Contreras-Sweet,37,1,Wed,0,0.7614180249511264,0
2020-07-26,Anthony Foxx,13,1,Sun,45,0.5624066553544252,25
2020-09-18,Jason Furman,4,1,Fri,69,0.727094085374847,50
2020-09-21,Jason Furman,8,1,Mon,0,0.016338719718623905,0
2020-05-19,Lisa P. Jackson,19,1,Tue,0,0.0901660633389838,0
2020-07-11,Denis McDonough,8,1,Sat,157,0.7112263106042519,111
2020-06-09,Sloan D. Gibson,20,1,Tue,0,0.8466682131052948,0
2020-07-28,Ken Salazar,29,1,Tue,0,0.58019455318572,0
2020-10-28,Loretta Lynch,16,1,Wed,0,0.08644939113873988,0
2020-05-03,Julian Castro,5,1,Sun,28,0.3929335291846655,11
